GSE,Title,Suitability_tier,Suitability_score,Meth_array,Other_platforms,N_samples,Has_sex,Has_age,Has_tissue,Has_ancestry,Has_cell_composition,N_phenotype_fields,Phenotype_fields,N_char_fields,All_char_tags,Sex_field,Age_field,Tissue_field,Tissue_examples,Phenotype_examples,First_sample_source_name,Suitability_notes,PubMed,Submission_date,Last_update,Platform_GPLs,N_matrix_files
GSE234461,Epigenetics of Yakutia and Central Russia regions,Moderate,5,EPIC (850K),,245,True,True,True,False,False,0,,4,sample type | age | Sex | region,Sex,age,region,Central; Yakutia,,Whole Blood,no phenotype/exposure variable (demographic/reference only),38053163,Jun 08 2023,Jan 27 2026,GPL21145,1
GSE240155,Characterization of DNA methylation changes induced by albuterol in airway epithelial cultures,Moderate,5,EPIC (850K),,200,False,False,True,False,False,3,pair | phase | treatment,5,pair | phase | cell type | treatment | quality control,,,cell type,NEC,pair: ID1; ID2; ID3; ID4 || phase: Discovery || treatment: cctrl; csalb,Nasal Epithelial Cells after chronic stimulation with mock solution,no sex field,37784136,Aug 04 2023,Oct 19 2023,GPL21145,1
GSE249113,Dexamethasone-stimulated DNA methylation in peripheral blood,Strong,6,EPIC (850K),,398,True,True,False,False,True,4,diagnosis | bmi | snp based principle component 1 | snp based principle component 2,12,diagnosis | Sex | age | bmi | cellcount-mono | cellcount-gran | cellcount-cd8t | cellcount-cd4t | cellcount-nk | cellcount-bcell | snp based principle component 1 | snp based principle component 2,Sex,age,,,diagnosis: case; control || bmi: 23.84; 30.47; 20.66; 25.66 || snp based principle component 1: 0.0101986; 0.00668386; -0.00659819; -0.00331079 || snp based principle component 2: 0.0105386; -2.68075e-05; -0.0143046; 0.0322292,whole blood,clean single-array study with phenotype + covariates,39393618,Nov 30 2023,May 08 2025,GPL21145,1
GSE251786,Sex-specific and multiomic integration enhance accuracy of peripheral blood biomarkers of major depressive disorder,Moderate,5,EPIC (850K),"GPL18573,GPL20301,GPL24676",470,True,False,True,False,False,1,group,3,tissue | group | Sex,Sex,,tissue,Whole blood,group: Control; MDD,Whole blood,multi-omic super-series (methylation + sequencing),39914267,Dec 21 2023,Mar 17 2025,"GPL18573,GPL20301,GPL21145,GPL24676",4
GSE254135,Longitudinal prediction of DNA methylation to forecast epigenetic outcomes,Moderate,4,EPIC (850K),,1051,False,True,True,False,False,0,,2,tissue | age(month),,age(month),tissue,buccal swab,,buccal swab 1,no phenotype/exposure variable (demographic/reference only); no sex field,40267756,Jan 24 2024,May 15 2025,GPL21145,1
GSE256394,Somatic mutations and DNA methylation identify a subgroup of poor prognosis within lower risk myelodysplastic syndromes [array],Moderate,5,EPIC (850K),,182,True,False,False,False,False,4,disease | progression | mdsdiag | genotype,6,disease | progression | mdsdiag | genotype | gender | methyl batch,gender,,,,disease: LR-MDS; Healthy control || progression: MDSp; MDS; CTRL || mdsdiag: 5q-Syndrome; RCMD; RAEB-1; RARS || genotype: SF3B1 WT SRSF2 WT U2AF1 WT; SF3B1 MUT SRSF2 WT U2AF1 WT; SF3B1 WT SRSF2 MUT U2AF1 WT; SF3B1 WT SRSF2 WT U2AF1 MUT,Bone marrow,clean single-array study with phenotype + covariates,39850648,Feb 22 2024,Jan 30 2025,GPL21145,1
GSE256396,Somatic mutations and DNA methylation identify a subgroup of poor prognosis within lower risk myelodysplastic syndromes,Moderate,5,EPIC (850K),GPL21697,374,True,False,True,False,False,4,disease | progression | mdsdiag | genotype,8,disease | progression | mdsdiag | genotype | gender | methyl batch | tissue | cell line,gender,,tissue;cell line,Bone marrow; CD34+,disease: LR-MDS; Healthy control || progression: MDSp; MDS; CTRL; NA || mdsdiag: 5q-Syndrome; RCMD; RAEB-1; RARS || genotype: SF3B1 WT SRSF2 WT U2AF1 WT; SF3B1 MUT SRSF2 WT U2AF1 WT; SF3B1 WT SRSF2 MUT U2AF1 WT; SF3B1 WT SRSF2 WT U2AF1 MUT,Bone marrow,multi-omic super-series (methylation + sequencing),39850648,Feb 22 2024,Jan 30 2025,"GPL21145,GPL21697",2
GSE263787,Epigenetic heterogeneity hotspots in human liver disease progression [MethylationEPIC Beadchip],Limited,3,EPIC (850K),,298,False,False,True,False,False,0,,2,tissue type | tissue,,,tissue type;tissue,Normal; Disease; liver,,Normal liver tissue,no phenotype/exposure variable (demographic/reference only); no sex field,39028883,Apr 11 2024,Apr 15 2026,GPL21145,1
GSE269416,Diagnostic Utility of DNA Methylation Analysis in Genetically Unsolved Pediatric Epilepsies and CHD2 Episignature Refinement,Moderate,5,EPIC (850K),,290,False,False,True,False,False,1,genotype,3,tissue | genotype | library name,,,tissue,peripheral blood; saliva; fibroblast,genotype: Proband_Unsolved; Proband_Solved,peripheral blood,no sex field,39107278,Jun 08 2024,Aug 07 2024,GPL21145,1
GSE272800,Systems Biology to Identify Biomarkers of Neonatal Vaccine Immunogenicity [methylation],Strong,6,EPIC (850K),,1350,True,False,True,True,False,1,treatment,6,Sex | race | ethnicity | tissue | cell type | treatment,Sex,,tissue;cell type,Blood; Whole blood,treatment: BCG D1; HBV + BCG D1; BCG D3; BCG D7,Blood,clean single-array study with phenotype + covariates,39289350,Jul 22 2024,May 19 2026,GPL21145,1
GSE273970,Genome-wide DNA methylation profile of blood samples from patients with major depressive disorder.,Strong,6,EPIC (850K),,283,True,True,False,False,False,1,disease state,4,disease state | Sex | age bracket | blood sample id,Sex,age bracket,,,disease state: major depressive disorder; normal,blood sample of patient with major depressive disorder,clean single-array study with phenotype + covariates,40174930,Aug 05 2024,Apr 17 2025,GPL21145,1
GSE280206,Raw data for: Epigenetic Age and Long-Term Cancer Risk Following a Stroke,Moderate,5,450K+EPIC (850K),,648,True,False,True,False,False,1,incident_cancer,3,tissue | Sex | incident_cancer,Sex,,tissue,Blood DNA,incident_cancer: no; yes,Blood DNA,mixed array generations (450K/EPIC/EPICv2),39578904,Oct 24 2024,Feb 18 2025,"GPL13534,GPL21145",2
GSE283506,Sex Differences in Epigenetic Ageing for Older People Living with HIV,Strong,6,EPIC (850K),,158,True,False,True,False,False,2,disease state | chronological age,4,Sex | cell type | disease state | chronological age,Sex,,cell type,Blood,disease state: HIV || chronological age: 55; 59; 58; 56,Blood,clean single-array study with phenotype + covariates,39923742,Dec 04 2024,Mar 06 2025,GPL21145,1
GSE284764,Epigenome-Wide Association Study of the Interaction between Alzheimer’s disease and Systemic Infection,Strong,7,EPIC (850K),,242,True,True,True,False,True,3,post-mortem delay | braak stage | ad diagnosis,7,tissue | brain bank | post-mortem delay | braak stage | age | Sex | ad diagnosis,Sex,age,tissue,Prefrontal Cortex,post-mortem delay: 10; 71; 40; 47 || braak stage: 2; 6; 3; 5 || ad diagnosis: Ctl; AD,Prefrontal Cortex,clean single-array study with phenotype + covariates,40166175,Dec 19 2024,Mar 13 2026,GPL21145,1
GSE286347,High-resolution whole-genome DNA methylation revealed unique signatures of painful diabetic neuropathy,Strong,6,EPIC (850K),,315,True,False,True,False,False,1,phenotype,3,tissue | Sex | phenotype,Sex,,tissue,Blood WB,phenotype: control; painful diabetic neuropathy; painles diabetic neuropathy,Blood WB,clean single-array study with phenotype + covariates,39847262,Jan 10 2025,Feb 21 2026,GPL21145,1
GSE287994,DNA METHYLATION SIGNATURES OF CERVICAL PRE-INVASIVE AND INVASIVE DISEASE: AN EPIGENOME-WIDE ASSOCIATION STUDY,Strong,6,EPIC (850K),,241,True,False,True,False,False,2,case.status | hpv.status,4,Sex | case.status | hpv.status | cell type,Sex,,cell type,Benign cervical sample; CIN3 or Cancer sample,case.status: 0; 1 || hpv.status: 1; 0,Benign cervical sample,clean single-array study with phenotype + covariates,40065506,Jan 24 2025,May 22 2025,GPL21145,1
GSE301735,Circulating Epigenetic Signatures Classifying Brain Insulin Resistance in humans [1],Strong,6,EPIC (850K),,200,True,False,True,False,False,1,disease_state,3,Sex | disease_state | tissue,Sex,,tissue,Blood cells,disease_state: BIR; BIS,Blood cells,clean single-array study with phenotype + covariates,40768600,Jul 07 2025,Apr 13 2026,GPL21145,1
GSE301739,Circulating Epigenetic Signatures Classifying Brain Insulin Resistance in humans,Moderate,5,EPIC (850K)+EPIC v2,,224,True,False,True,False,False,1,disease_state,3,Sex | disease_state | tissue,Sex,,tissue,Blood cells,disease_state: BIR; BIS,Blood cells,mixed array generations (450K/EPIC/EPICv2),40768600,Jul 07 2025,Apr 09 2026,"GPL21145,GPL33022",2
GSE305174,Epigenome-wide association study of blood DNA methylation and markers of physical performance indicates subtle differences across levels of cardiovascular fitness,Moderate,5,EPIC (850K),,366,True,True,True,False,False,0,,3,tissue | Sex | age,Sex,age,tissue,Whole blood,,Whole blood,no phenotype/exposure variable (demographic/reference only),42064556,Aug 11 2025,May 07 2026,GPL21145,1
GSE305883,DNA Methylation profiles of self-reported Hispanic subjects in the Northern Manhattan Study,Limited,3,EPIC (850K),,322,False,False,True,False,False,0,,4,tissue | batch | sample_plate | sentrix_id,,,tissue,Blood,,Blood,no phenotype/exposure variable (demographic/reference only); no sex field,41462362,Aug 19 2025,Feb 24 2026,GPL21145,1
GSE309790,Aberrant DNA Methylation Underlying Prenatal Exposures and Increased Newborn and Childhood Adiposity,Limited,3,EPIC (850K),,3129,True,False,True,False,False,0,,4,Sex | tissue | developmental stage | cell type,Sex,,tissue;developmental stage;cell type,cord clood; newborn; whole blood cells,,newborn cordblood,very large (n=3129) — heavy for a tutorial; no phenotype/exposure variable (demographic/reference only),39165088,Nov 13 2025,May 21 2026,GPL21145,1
GSE314180,Integrative analysis of DNA methylation and inflammatory protein biomarkers in hypertension,Limited,3,EPIC (850K),,218,False,False,True,False,False,0,,1,cell type,,,cell type,leukocyte,,leukocyte,no phenotype/exposure variable (demographic/reference only); no sex field,41756286,Dec 17 2025,Mar 05 2026,GPL21145,1
GSE315764,Stratifying High-Risk Prediabetes Clusters Using Blood-Based Epigenetic Markers,Moderate,5,EPIC (850K)+EPIC v2,,333,True,False,True,False,False,1,disease_state,3,Sex | disease_state | tissue,Sex,,tissue,Blood cells,disease_state: C2; C6; C5; C3,Blood cells,mixed array generations (450K/EPIC/EPICv2),41547928,Jan 06 2026,Jan 29 2026,"GPL21145,GPL33022",2
GSE318173,"Epigenome‐wide association study, meta‐analysis, and multiscore profiling of whole blood in Parkinson's disease",Strong,6,EPIC (850K),,559,True,True,False,False,False,2,is_technical_replicate | disease_status,7,amp_plate | slide | slide_position | is_technical_replicate | Sex | age | disease_status,Sex,age,,,is_technical_replicate: N || disease_status: CONTR; PD,whole_blood,clean single-array study with phenotype + covariates,39907161,Jan 30 2026,May 06 2026,GPL21145,1
